StackExchange,Size,Number of XMLs
islam.stackexchange.com.7z,42.1M,3,Badges.xml,PostHistory.xml,PostLinks.xml
italian.meta.stackexchange.com.7z,599.2K,1,Badges.xml
italian.stackexchange.com.7z,9.3M,1,Badges.xml
ja.meta.stackoverflow.com.7z,3.1M,1,Badges.xml
ja.stackoverflow.com.7z,62.1M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
japanese.meta.stackexchange.com.7z,2.7M,1,Badges.xml
japanese.stackexchange.com.7z,52.9M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
joomla.meta.stackexchange.com.7z,397.8K,1,Badges.xml
joomla.stackexchange.com.7z,13.9M,1,Badges.xml
judaism.meta.stackexchange.com.7z,5.4M,1,Badges.xml
judaism.stackexchange.com.7z,106.2M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
korean.meta.stackexchange.com.7z,240.8K,1,Badges.xml
korean.stackexchange.com.7z,3.9M,1,Badges.xml
languagelearning.meta.stackexchange.com.7z,558.6K,1,Badges.xml
languagelearning.stackexchange.com.7z,3.9M,1,Badges.xml
latin.meta.stackexchange.com.7z,729.1K,1,Badges.xml
latin.stackexchange.com.7z,15.1M,1,Badges.xml
law.meta.stackexchange.com.7z,1.5M,1,Badges.xml
law.stackexchange.com.7z,59.9M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
lifehacks.meta.stackexchange.com.7z,1.0M,1,Badges.xml
lifehacks.stackexchange.com.7z,11.2M,1,Badges.xml
linguistics.meta.stackexchange.com.7z,1.1M,1,Badges.xml
linguistics.stackexchange.com.7z,30.0M,2,Badges.xml,Posts.xml
literature.meta.stackexchange.com.7z,2.2M,1,Badges.xml
literature.stackexchange.com.7z,18.5M,1,Badges.xml
magento.meta.stackexchange.com.7z,1.6M,1,Badges.xml
magento.stackexchange.com.7z,185.1M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
martialarts.meta.stackexchange.com.7z,795.9K,1,Badges.xml
martialarts.stackexchange.com.7z,10.5M,1,Badges.xml
materials.meta.stackexchange.com.7z,395.5K,1,Badges.xml
materials.stackexchange.com.7z,5.4M,1,Badges.xml
math.meta.stackexchange.com.7z,42.5M,4,Badges.xml,PostHistory.xml,Posts.xml,Votes.xml
math.stackexchange.com.7z,2.7G,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
matheducators.meta.stackexchange.com.7z,863.4K,1,Badges.xml
matheducators.stackexchange.com.7z,18.1M,1,Badges.xml
mathematica.meta.stackexchange.com.7z,3.4M,1,Badges.xml
mathematica.stackexchange.com.7z,235.0M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
mathoverflow.net.7z,384.0M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
mechanics.meta.stackexchange.com.7z,1.2M,1,Badges.xml
