,LHS,RHS,support,confidence,coverage,lift,count
133,{manu-smriti},{devtas},0.001672399103846518,0.25728155339805825,0.006500268214950617,5.766272778456764,53
134,{devtas},{manu-smriti},0.001672399103846518,0.03748231966053748,0.0446183459026222,5.766272778456764,53
135,{bhagavad-gita},{kumarila-bhatta},0.0014199615032659115,0.17374517374517376,0.008172667318797134,3.3269838677693664,45
136,{kumarila-bhatta},{bhagavad-gita},0.0014199615032659115,0.027190332326283987,0.05222302862011297,3.3269838677693664,45
137,{indra},{mukti},0.0012621880029030324,0.19138755980861244,0.006594932315168345,13.33024869866975,40
138,{mukti},{indra},0.0012621880029030324,0.08791208791208792,0.014357388533021993,13.330248698669752,40
139,{indra},{kumarila-bhatta},0.0010413051023950017,0.15789473684210525,0.006594932315168345,3.0234695500079503,33
140,{kumarila-bhatta},{indra},0.0010413051023950017,0.019939577039274924,0.052223028620112966,3.0234695500079503,33
141,{samskara},{appayya-dikshitar},0.0010728598024675776,0.15813953488372093,0.0067842605156037995,5.3371671991480305,34
142,{appayya-dikshitar},{samskara},0.0010728598024675776,0.0362087326943557,0.029629863368148688,5.3371671991480305,34
143,{samskara},{lalita-sahasranama},0.0019563914044997003,0.28837209302325584,0.006784260515603799,7.953698868581376,62
144,{lalita-sahasranama},{samskara},0.0019563914044997003,0.053959965187119235,0.036256350383389604,7.953698868581375,62
145,{samskara},{exaltation},0.0020826102047900035,0.30697674418604654,0.006784260515603799,9.024489795918369,66
146,{exaltation},{samskara},0.0020826102047900035,0.061224489795918366,0.034015966678236725,9.024489795918367,66
147,{men},{brahmakumaris},0.0012306333028304565,0.16595744680851063,0.007415354517055315,22.475886524822695,39
148,{brahmakumaris},{men},0.0012306333028304565,0.16666666666666666,0.007383799816982739,22.475886524822695,39
149,{men},{kumarila-bhatta},0.0011990786027578808,0.16170212765957448,0.007415354517055315,3.0963759079514044,38
150,{kumarila-bhatta},{men},0.0011990786027578808,0.022960725075528703,0.052223028620112966,3.096375907951405,38
151,{dress},{shani},0.0011359692026127292,0.14634146341463414,0.00776245621785365,15.562776231789162,36
152,{shani},{dress},0.0011359692026127292,0.12080536912751678,0.009403300621627591,15.562776231789165,36
153,{navrathri},{chakras},0.0025874854059512163,0.35344827586206895,0.007320690416837587,29.09384236453202,82
154,{chakras},{navrathri},0.0025874854059512163,0.21298701298701297,0.012148559527941687,29.09384236453202,82
155,{amla},{kumarila-bhatta},0.0010097504023224258,0.11307420494699646,0.008929980120538953,2.1652172984744804,32
156,{kumarila-bhatta},{amla},0.0010097504023224258,0.01933534743202417,0.05222302862011296,2.1652172984744804,32
157,{brahmakumaris},{kumarila-bhatta},0.0017039538039190936,0.23076923076923078,0.007383799816982738,4.418917034627005,54
158,{kumarila-bhatta},{brahmakumaris},0.0017039538039190936,0.03262839879154079,0.05222302862011296,4.418917034627005,54
159,{dasharatha},{kumarila-bhatta},0.0010413051023950017,0.12222222222222222,0.00851976901959547,2.3403893924135617,33
160,{kumarila-bhatta},{dasharatha},0.0010413051023950017,0.019939577039274924,0.052223028620112966,2.3403893924135613,33
161,{charvaka},{teaching},0.0029661418068221263,0.3657587548638132,0.008109557918651984,29.951578037181147,94
162,{teaching},{charvaka},0.0029661418068221263,0.24289405684754523,0.012211668928086838,29.95157803718115,94
163,{charvaka},{prisoners},0.0017670632040642455,0.2178988326848249,0.008109557918651984,15.587882407708321,56
164,{prisoners},{charvaka},0.0017670632040642455,0.12641083521444696,0.013978732132151084,15.587882407708321,56
165,{padmasana},{kali},0.0011044145025401533,0.12027491408934708,0.00918241772111956,5.766463392444021,35
166,{kali},{padmasana},0.0011044145025401533,0.0529500756429652,0.02085765674797261,5.766463392444021,35
167,{padmasana},{lalita-sahasranama},0.0015146256034836388,0.16494845360824742,0.00918241772111956,4.5495051725839595,48
